username,restaurantname,firstname,lastname,email,password
leslie1,,Leslie,Berry,leslie1@gmail.com,0335916
wendy1,,Wendy,Myers,wendy1@gmail.com,9431896
sarah1,,Sarah,Angeles,sarah1@gmail.com,3017386
lon1,,Lon,Gamez,lon1@gmail.com,7638344
patricia1,,Patricia,Markowitz,patricia1@gmail.com,5491423
jarvis1,,Jarvis,Davis,jarvis1@gmail.com,2451333
john1,,John,Reid,john1@gmail.com,9428071
isaiah1,,Isaiah,Mckeighan,isaiah1@gmail.com,4065992
michael1,,Michael,Takaki,michael1@gmail.com,3342710
renee1,,Renee,Stevenson,renee1@gmail.com,0536807
randy1,,Randy,Downs,randy1@gmail.com,0930163
henrietta1,,Henrietta,Horkey,henrietta1@gmail.com,9995973
tracey1,,Tracey,Bartels,tracey1@gmail.com,2727063
hassan1,,Hassan,Sheriff,hassan1@gmail.com,7895363
molly1,,Molly,Laubhan,molly1@gmail.com,4480437
caroline1,,Caroline,Henry,caroline1@gmail.com,6198536
dennis1,,Dennis,Peterson,dennis1@gmail.com,3784031
scott1,,Scott,Thompson,scott1@gmail.com,7209711
bradley1,,Bradley,Weber,bradley1@gmail.com,8638156
diane1,,Diane,Bates,diane1@gmail.com,7256548
robert1,,Robert,Roman,robert1@gmail.com,3758700
shannon1,,Shannon,Clark,shannon1@gmail.com,4355738
jill1,,Jill,Harsh,jill1@gmail.com,9216505
richard1,,Richard,Mitchell,richard1@gmail.com,5913413
eugene1,,Eugene,Locklear,eugene1@gmail.com,4199914
jesse1,,Jesse,Sowell,jesse1@gmail.com,0833075
john1,,John,Rigby,john1@gmail.com,6719575
denise1,,Denise,Miller,denise1@gmail.com,6617955
mark1,,Mark,Beall,mark1@gmail.com,5836362
dewey1,,Dewey,Koontz,dewey1@gmail.com,8404856
trena1,,Trena,Rider,trena1@gmail.com,6682265
joan1,,Joan,Martinez,joan1@gmail.com,3623330
cynthia1,,Cynthia,Bishop,cynthia1@gmail.com,5816195
shayne1,,Shayne,Chiasson,shayne1@gmail.com,3253970
bradley1,,Bradley,Aikens,bradley1@gmail.com,1352210
