username,restaurant_name,email,restaurant_owner,address,opening_hours,price,cooking_type,contact,menu,specialdiet,password,ratings
l'antidote1,L'Antidote,l'antidote1@gmail.com,Charlene Galindo,"Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,French,074841873,"Pork sausage roll, California maki, Salmon nigiri, Chicken Fajitas, ",,8186024,
laterrasse1,La terrasse,laterrasse1@gmail.com,Julie Macdonald,"10 rue des Faysonnes, 83136 Rocbaron France",17:00-23:00,€€-€€€,"French, Pizza, Italian",074737494,"Chicken wings, Teriyaki Chicken donburi, Mushroom Risotto, Mushroom Risotto, ",,6674278,
caferestaurantlepapareil1,Cafe Restaurant le Papareil,caferestaurantlepapareil1@gmail.com,Stewart Cooper,"quartier Fray Redon, 83136 Rocbaron France",17:00-23:00,€,"French, European",074840842,"Ebiten maki, Fettuccine Alfredo, Pasta with Tomato and Basil, Pasta with Tomato and Basil, ",,9648218,
l'ardoisier1,L'ardoisier,l'ardoisier1@gmail.com,Warren Elsea,"quartier Fray Redon Galerie du soleil - Espace du Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,French,075304420,"Lasagne, Katsu Curry, Souvlaki, Pork belly buns, ",Vegetarian Friendly,0120164,
espritsushirocbaron1,Esprit Sushi Rocbaron,espritsushirocbaron1@gmail.com,Andrew Manuel,"2 Zac de Fray Redon, 83136 Rocbaron France",17:00-23:00,€€-€€€,"Japanese, Sushi, Asian",076352975,"Linguine with clams, Vegetable Soup, Chilli con carne, Chilli con carne, ",,3240753,
meuricechristophe1,Meurice Christophe,meuricechristophe1@gmail.com,Geraldine Barnett,"1 Rue Jean Jaures, 27780 Le Bec-Hellouin France",17:00-23:00,,,074036563,"Souvlaki, Pork sausage roll, Meatballs with sauce, Ricotta stuffed Ravioli, ",,8103507,
lacrepedanslebec1,La Crepe Dans Le Bec,lacrepedanslebec1@gmail.com,Richard Taylor,"Route de Rouen, 27300 Le Bec-Hellouin France",17:00-23:00,,French,074386003,"Salmon nigiri, Pasta with Tomato and Basil, Pasta and Beans, Ricotta stuffed Ravioli, ",,5811931,
aubergedel'abbaye1,Auberge de l'Abbaye,aubergedel'abbaye1@gmail.com,Max Shankle,"12 Place Guillaume le Conquerant, 27800 Le Bec-Hellouin France",17:00-23:00,€€€€,"French, European",077543976,"Vegetable Soup, Pappardelle alla Bolognese, Caprese Salad, Salmon nigiri, ",,1925703,
l'antredecloches1,L'Antre de Cloches,l'antredecloches1@gmail.com,Lillian Peeples,"1 rue Lanfranc, 27800 Le Bec-Hellouin France",17:00-23:00,€€-€€€,"Cafe, French",072492884,"Teriyaki Chicken donburi, Teriyaki Chicken donburi, Philadelphia maki, Fish and chips, ",,5491009,
lacrêpedanslebec1,La Crêpe dans le Bec,lacrêpedanslebec1@gmail.com,Francisco Wiseman,"2 Place de l Abbe Herluin, 27800 Le Bec-Hellouin France",17:00-23:00,€€-€€€,"French, European",070727932,"Teriyaki Chicken donburi, California maki, Ebiten maki, Bruschette with Tomato, ",Vegetarian Friendly,6686163,
restaurantdelatour1,Restaurant de la Tour,restaurantdelatour1@gmail.com,David Martinez,"1 Place Guillaume le Conquerant, 27800 Le Bec-Hellouin France",17:00-23:00,€€-€€€,"French, European",073916175,"Teriyaki Chicken donburi, Chicken milanese, Chilli con carne, Fish and chips, ",,8479036,
l'archange1,L'ARCHANGE,l'archange1@gmail.com,Kevin Ryan,"5 Place Mathilde, 27800 Le Bec-Hellouin France",17:00-23:00,€€-€€€,French,075802254,"Katsu Curry, Ricotta stuffed Ravioli, Chicken milanese, Cheeseburger, ",,1296960,
restaurantalpazur1,Restaurant Alpazur,restaurantalpazur1@gmail.com,Sara Moore,"106 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,078800949,"California maki, Risotto with seafood, Risotto with seafood, Tiramisù, ",,6496580,
gagnieredavid1,Gagniere David,gagnieredavid1@gmail.com,Margaret Smith,"50 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,072707312,"Philadelphia maki, Chilli con carne, Fettuccine Alfredo, Tiramisù, ",,5093186,
lec21,Le C2,lec21@gmail.com,Jacqueline Boone,"Chemin des Crueux Batiment St Charles, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, European",078656551,"Chicken milanese, Chilli con carne, Meatballs with sauce, Caesar Salad, ",,9458530,
theesconda1,The Esconda,theesconda1@gmail.com,Kenneth Cunningham,"Chemin des Crueux Saint Charles Hotel & Spa, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,,French,070167538,"Ebiten maki, Scotch eggs, French fries with sausages, Pork belly buns, ",,4304182,
relaisdes2cols1,Relais des 2 Cols,relaisdes2cols1@gmail.com,Sonya Otero,"66 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,074698603,"Pizza, Pizza, Califlower penne, Fish and chips, ",,0318379,
francescocimaz1,Francesco Cimaz,francescocimaz1@gmail.com,Daniel West,"Grande Croix, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,,,072441035,"California maki, Chicken Fajitas, French fries with sausages, Fish and chips, ",,4210515,
hotellacledeschamps1,Hotel La Cle des Champs,hotellacledeschamps1@gmail.com,Eric Martin,"les Champs, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,078822355,"Tuna sashimi, Vegetable Soup, Salmon nigiri, Vegetable Soup, ",,5574270,
lavanoise1,La Vanoise,lavanoise1@gmail.com,Antonia Nunez,"7 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, European",076508778,"Lasagne, Salmon nigiri, Pork belly buns, Pasta and Beans, ",Vegetarian Friendly,3468140,
aux2mousses1,Aux 2 mousses,aux2mousses1@gmail.com,William Rock,"Lieu Dit Plan des Champs Residence Le Criterium, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"American, Brew Pub, Cafe, French, Bar",070661573,"Pasta Carbonara, Pork belly buns, Tuna sashimi, Mushroom Risotto, ",,0489372,
pizzeriala181,Pizzeria la 18,pizzeriala181@gmail.com,Shirley Staab,"30 rue du Mont Cenis, Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€,"Italian, Pizza",073375567,"Caesar Salad, Pappardelle alla Bolognese, Mushroom Risotto, Linguine with clams, ",,7112510,
vr171,VR 17,vr171@gmail.com,Barbara Whitling,"35 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, Italian, American",070692819,"Vegetable Soup, Pappardelle alla Bolognese, Bruschette with Tomato, Caprese Salad, ",,6344809,
mariusetjosephine1,Marius et Josephine,mariusetjosephine1@gmail.com,Charles Hines,"Lieu Dit Plan des Champs Residence Les Alpages, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, European",077217470,"Caprese Salad, Califlower penne, Pork belly buns, Caesar Salad, ",,9067172,
lestipisdecrevecoeur1,Les Tipis De Creve Coeur,lestipisdecrevecoeur1@gmail.com,Sandra Reich,"Col du Mont Cenis Gran croix, les echelles, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,079463277,"Scotch eggs, Philadelphia maki, Teriyaki Chicken donburi, Vegetable Soup, ",,1955991,
l'atelierdessaveurs1,L'atelier des Saveurs,l'atelierdessaveurs1@gmail.com,Shauna Petitti,"31 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"European, Asian, Thai, Vietnamese, French",074927170,"Philadelphia maki, Ebiten maki, Mushroom Risotto, Pasta with Tomato and Basil, ",,5897304,
lemalamot1,Le Malamot,lemalamot1@gmail.com,Johnny Murphy,"Grand Croix, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,,072030635,"Fish and chips, Risotto with seafood, Souvlaki, French fries with sausages, ",,0437808,
lenapoléon1,Le Napoléon,lenapoléon1@gmail.com,Anna Turner,"Quartier Napoléon Intersection Entre la Rue du Cugniet et la Rue Des Jardins, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,073480902,"Meatballs with sauce, Bruschette with Tomato, French fries with sausages, Meatballs with sauce, ",Vegetarian Friendly,6483372,
labambiche1,La Bambiche,labambiche1@gmail.com,William Haslam,"76 rue du Mont Cenis Lanslebourg, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, European",078849956,"Pizza, Chicken milanese, Katsu Curry, Souvlaki, ",,8198111,
lehott1,Le Hott,lehott1@gmail.com,Evelyn Maxwell,"RD1006 - Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,078161874,"Katsu Curry, Pasta Carbonara, Tuna sashimi, California maki, ",,0905583,
restaurantlesavoie1,Restaurant Le Savoie,restaurantlesavoie1@gmail.com,Carrie Caddell,"Plan des Fontainettes Le Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, European",071947646,"Chicken wings, Katsu Curry, Pork sausage roll, Pasta Carbonara, ",,7638918,
lerelaisducoldumontcenis1,Le relais du Col du Mont Cenis,lerelaisducoldumontcenis1@gmail.com,William Saunders,"Col Mont Cenis, Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,073585525,"Tuna sashimi, Chicken wings, Pork belly buns, Mushroom Risotto, ",,3527177,
lapeaudevache1,La Peau de Vache,lapeaudevache1@gmail.com,Lee Joyner,"les Champs, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, Bar, European, Pub",079331897,"Philadelphia maki, Barbecue Ribs, Ricotta stuffed Ravioli, Fettuccine Alfredo, ",,6939584,
ristorantehotelgranscala1,Ristorante Hotel Gran Scala,ristorantehotelgranscala1@gmail.com,Betty Gutierrez,"73480 Lanslebourg-Mont-Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€,Italian,075647591,"California maki, Risotto with seafood, Ricotta stuffed Ravioli, Chilli con carne, ",,0078030,
alafrontieredessaveurs1,A la Frontiere des Saveurs,alafrontieredessaveurs1@gmail.com,Robert Galvin,"61 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,French,077210382,"Linguine with clams, Linguine with clams, California maki, Chicken milanese, ",,8115286,
lavieilleposte1,La Vieille Poste,lavieilleposte1@gmail.com,June Viernes,"87 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, Polish, European",076979339,"Teriyaki Chicken donburi, Souvlaki, French fries with sausages, Chicken Fajitas, ",,7595868,
lesrochesblanches1,les roches blanches,lesrochesblanches1@gmail.com,Dean Biondolillo,"Lieu Dit Les Fontainettes Montcenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"French, Grill",074915318,"Califlower penne, Teriyaki Chicken donburi, Chilli con carne, Cheeseburger, ",Vegetarian Friendly,4946639,
laramasserestaurant1,La Ramasse Restaurant,laramasserestaurant1@gmail.com,Michael Mcdowell,"55 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€,French,073653178,"Pork belly buns, Barbecue Ribs, California maki, Katsu Curry, ",Vegetarian Friendly,4504342,
gited'etapeletoet1,Gite D'etape le Toet,gited'etapeletoet1@gmail.com,Kenneth Pressnell,"Col du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",17:00-23:00,€€-€€€,"European, Italian, French",070496685,"Barbecue Ribs, California maki, Salmon nigiri, Chicken wings, ",,0222964,
harvestmarket1,Harvest Market,harvestmarket1@gmail.com,Richard Vauters,"Eurotunnel Charles Dickens Terminal, 62231 Valhuon France",17:00-23:00,€€-€€€,,070933526,"Katsu Curry, Scotch eggs, Scotch eggs, Caesar Salad, ",,7141430,
laiteriecolbayard1,Laiterie Col Bayard,laiteriecolbayard1@gmail.com,Maria Cole,"Route Nationale 85 Laye, 05500 Saint-Bonnet en Champsaur France",17:00-23:00,€€-€€€,French,073352634,"Pasta and Beans, Pork belly buns, Pasta Carbonara, Salmon nigiri, ",,7810976,
letempsdesmets1,Le Temps Des Mets,letempsdesmets1@gmail.com,Hector Vaccaro,"Rue De Chaillol, 05500 Saint-Bonnet en Champsaur France",17:00-23:00,,"French, European",074495380,"Pasta Carbonara, Califlower penne, Teriyaki Chicken donburi, Philadelphia maki, ",,3946184,
aubergedestounes1,Auberge des Tounes,aubergedestounes1@gmail.com,Christopher Boulds,"13 rue Lesdiguieres, 05500 Saint-Bonnet en Champsaur France",17:00-23:00,€€-€€€,"French, Italian",070828233,"French fries with sausages, Chilli con carne, Lasagne, Vegetable Soup, ",,1719257,
pizzalescolonnes.1,Pizza Les colonnes.,pizzalescolonnes.1@gmail.com,Karen Tinnin,"5 rue de Chaillol, 05500 Saint-Bonnet en Champsaur France",17:00-23:00,€,"Italian, Pizza",075458064,"Caesar Salad, Chicken Fajitas, Pasta with Tomato and Basil, Chicken milanese, ",,6466924,
leschenets1,Les Chenets,leschenets1@gmail.com,Timothy Shipps,"Le Village, 05500 Saint-Bonnet en Champsaur France",17:00-23:00,€€-€€€,French,070151556,"Fettuccine Alfredo, Pork sausage roll, Caesar Salad, Meatballs with sauce, ",,6157669,
l'aubergedemarie1,L'Auberge de Marie,l'aubergedemarie1@gmail.com,Eleanor Nozum,"12 Place du Chevreril Centre Ville, 05500 Saint-Bonnet en Champsaur France",17:00-23:00,€€-€€€,"French, European",074353133,"Salmon nigiri, French fries with sausages, Pappardelle alla Bolognese, Pappardelle alla Bolognese, ",,7533869,
lemaquisetlelys1,Le Maquis et le Lys,lemaquisetlelys1@gmail.com,Jeffrey Liszewski,"Fleur de lys, 49500 Saint-Martin-du-Bois, Segre-en-Anjou Bleu France",17:00-23:00,,,071379484,"French fries with sausages, Bruschette with Tomato, Pasta and Beans, Souvlaki, ",,8395256,
lafleurdelys1,La Fleur de Lys,lafleurdelys1@gmail.com,Maria Frechette,"Lieu Dit la Fleur de Lys, 49500 Saint-Martin-du-Bois, Segre-en-Anjou Bleu France",17:00-23:00,€€-€€€,French,075575721,"Fish and chips, Pasta and Beans, Mushroom Risotto, Barbecue Ribs, ",,4242325,
lebistrodelagrève1,Le Bistro de la Grève,lebistrodelagrève1@gmail.com,William Baker,"1 quai de la Rance, 35430 St Suliac France",17:00-23:00,€€-€€€,"French, European",079446294,"Risotto with seafood, Pork belly buns, Barbecue Ribs, Bruschette with Tomato, ",Vegetarian Friendly,1911043,
chezcloclo1,Chez Cloclo,chezcloclo1@gmail.com,Vernon Morvant,"Quai de Rance, 35430 St Suliac France",17:00-23:00,€€-€€€,French,073406569,"Chicken milanese, Lasagne, Barbecue Ribs, Fish and chips, ",,3375581,
augalichon1,Au Galichon,augalichon1@gmail.com,George Sturgeon,"5 rue de la Grande Cohue, 35430 St Suliac France",17:00-23:00,€€-€€€,French,077073178,"Pizza, Linguine with clams, Chicken wings, Chicken Fajitas, ","Vegetarian Friendly, Vegan Options",8166561,
prestoresto1,Presto Resto,prestoresto1@gmail.com,Mary Taylor,"4 avenue de la Mairie, 43000 Espaly-Saint-Marcel France",17:00-23:00,€€-€€€,"Pizza, Fast food",075353316,"Chicken milanese, French fries with sausages, Chicken milanese, Pasta with Tomato and Basil, ",,3772706,
lemassilia1,Le Massilia,lemassilia1@gmail.com,Erik Choute,"20 avenue du Puy, 43000 Espaly-Saint-Marcel France",17:00-23:00,,,071215008,"Ebiten maki, Pasta and Beans, California maki, Cheeseburger, ",,5124649,
kebabespaly1,Kebab Espaly,kebabespaly1@gmail.com,Major Brittain,"1 avenue de la Mairie, 43000 Espaly-Saint-Marcel France",17:00-23:00,,Middle Eastern,071467796,"Ebiten maki, Pork belly buns, Mushroom Risotto, Caprese Salad, ",,0750133,
l'ermitage1,L'Ermitage,l'ermitage1@gmail.com,Ruth Bodily,"73 avenue de l'Hermitage, 43000 Espaly-Saint-Marcel France",17:00-23:00,€€€€,"French, European",076438006,"Pork belly buns, Vegetable Soup, Meatballs with sauce, Chicken Fajitas, ",Gluten Free Options,1557151,
lesorguesd'espaly1,Les Orgues d'Espaly,lesorguesd'espaly1@gmail.com,Phillip Moore,"53 avenue de la Bernarde, 43000 Espaly-Saint-Marcel France",17:00-23:00,€€€€,French,072764782,"Fish and chips, Tuna sashimi, Chicken milanese, Chicken milanese, ",,3248247,
wafu1,Wafu,wafu1@gmail.com,Theodore Vance,"Au Chemin Croisé, 80300 Meaulte France",17:00-23:00,€€-€€€,"Asian, Chinese, Japanese, Vietnamese",075688881,"Vegetable Soup, Tiramisù, Ricotta stuffed Ravioli, Bruschette with Tomato, ",,3353790,
l'imprevu1,L'imprevu,l'imprevu1@gmail.com,Margaret Bornstein,"9 quai de la Republique, 78700 Conflans Sainte Honorine France",17:00-23:00,€€€€,French,071335047,"Chicken wings, Pasta Carbonara, Fish and chips, Mushroom Risotto, ",,9330604,
lamaisondupoulet1,La Maison du Poulet,lamaisondupoulet1@gmail.com,Ethan Ballard,"91 avenue Carnot, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,French,077132578,"Chicken milanese, Pork belly buns, Lasagne, California maki, ",Vegetarian Friendly,5639534,
littletokyo1,Little Tokyo,littletokyo1@gmail.com,Daniel Richardson,"2 boulevard Troussel, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,"Japanese, Sushi, Asian",070117000,"Katsu Curry, Cheeseburger, Pasta Carbonara, Tiramisù, ",Vegetarian Friendly,4325124,
sushijardin1,Sushi Jardin,sushijardin1@gmail.com,Cathy Brightharp,"127 rue Desire Clement, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,"Japanese, Sushi, Asian",078521940,"Ebiten maki, Salmon nigiri, Barbecue Ribs, Tiramisù, ",,2653114,
ledarjeeling1,Le Darjeeling,ledarjeeling1@gmail.com,Cheryl Lynch,"133 rue Désiré Clément Restaurant Ouvert 7/7, 78700 Conflans Sainte Honorine France",17:00-23:00,€,"Pakistani, Middle Eastern",078026463,"Katsu Curry, Philadelphia maki, Pork sausage roll, Fettuccine Alfredo, ",,7167629,
ristorantedelarte1,Ristorante Del Arte,ristorantedelarte1@gmail.com,Chris Hanley,"18 rue de l Hautil, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,Italian,072587109,"Ricotta stuffed Ravioli, Scotch eggs, Pasta Carbonara, Barbecue Ribs, ",,8769419,
mammamiapinseria1,Mamma Mia Pinseria,mammamiapinseria1@gmail.com,Ashly Morris,"6 quai de la Republique, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,"Italian, Pizza, Wine Bar",071289827,"Vegetable Soup, Katsu Curry, Chilli con carne, Ebiten maki, ",Vegetarian Friendly,5042419,
domuscaffe1,Domus Caffe,domuscaffe1@gmail.com,Hope Clark,"18 rue de l Hautil, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,,079401840,"Ebiten maki, Tuna sashimi, Philadelphia maki, Pasta with Tomato and Basil, ",,4043969,
auxbergesdubonheur1,Aux Berges du Bonheur,auxbergesdubonheur1@gmail.com,Johnathan Swatzell,"15 quai Martyrs de la Resistance, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,French,076344468,"Pork belly buns, Bruschette with Tomato, Lasagne, Katsu Curry, ",,7232557,
crêperiel'avenuefoch1,Crêperie l'Avenue Foch,crêperiel'avenuefoch1@gmail.com,Clayton Look,"191B Avenue du Maréchal Foch, 78700 Conflans Sainte Honorine France",17:00-23:00,€,French,079690422,"French fries with sausages, Scotch eggs, Pasta and Beans, Caprese Salad, ",,2836437,
woodpiz1,Woodpiz,woodpiz1@gmail.com,Tim Davenport,"18 quai Martyrs de la Resistance, 78700 Conflans Sainte Honorine France",17:00-23:00,,"Italian, Pizza",073227325,"Tuna sashimi, Caprese Salad, Mushroom Risotto, Chicken wings, ",,6416197,
l'escaledeconflans1,l'Escale de Conflans,l'escaledeconflans1@gmail.com,Viola Wilson,"5 quai de la Republique, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,"French, Cafe, Grill",077941979,"Pappardelle alla Bolognese, Pappardelle alla Bolognese, Linguine with clams, Fettuccine Alfredo, ",,4170634,
l.siciliano1,L. Siciliano,l.siciliano1@gmail.com,Elaine Walters,"221 rue de la Marne, 78700 Conflans Sainte Honorine France",17:00-23:00,,,073009263,"Pasta Carbonara, Barbecue Ribs, Risotto with seafood, Pasta with Tomato and Basil, ",,8350331,
letempssuspendu1,Le Temps Suspendu,letempssuspendu1@gmail.com,Matilda Norrington,"Quai de Gaillon, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,French,074417124,"Pasta Carbonara, Pasta with Tomato and Basil, Tiramisù, Risotto with seafood, ",,6282608,
indienpalace1,Indien Palace,indienpalace1@gmail.com,Melissa Gambill,"273 avenue Carnot, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,Indian,071936795,"Tiramisù, Pasta with Tomato and Basil, Katsu Curry, Pork sausage roll, ",,6520686,
haagen-dazs1,Haagen-Dazs,haagen-dazs1@gmail.com,Gerald Keen,"ZA Les Boutries 9 Rue de l'Hautil, 78700 Conflans Sainte Honorine France",17:00-23:00,,,073616423,"Meatballs with sauce, Chicken wings, Mushroom Risotto, Teriyaki Chicken donburi, ",,9749743,
lecomptoiritalien1,Le Comptoir Italien,lecomptoiritalien1@gmail.com,Mary Hamel,"18 rue de l Hautil, 78700 Conflans Sainte Honorine France",17:00-23:00,€€-€€€,Italian,077063262,"Califlower penne, Risotto with seafood, Caesar Salad, Souvlaki, ","Vegetarian Friendly, Vegan Options",2433829,
hindaflavour1,Hinda flavour,hindaflavour1@gmail.com,Elmer Sloss,"117 Rue Désiré Clément, 78700 Conflans Sainte Honorine France",17:00-23:00,,African,078204762,"Tuna sashimi, Mushroom Risotto, Teriyaki Chicken donburi, Pizza, ",,7583648,
orendezvous1,O Rendez Vous,orendezvous1@gmail.com,Gary Manning,"133 rue Desire Clement, 78700 Conflans Sainte Honorine France",17:00-23:00,€€€€,"European, Portuguese",072929544,"Chicken milanese, Chicken Fajitas, Risotto with seafood, Fish and chips, ",,4040193,
lesdelicesdumaroc1,Les Delices du Maroc,lesdelicesdumaroc1@gmail.com,Carol Spitler,"4 avenue Carnot, 78700 Conflans Sainte Honorine France",17:00-23:00,,,078058941,"Chicken wings, Chicken wings, Califlower penne, Ebiten maki, ",,0849468,
