username,restaurant_name,email,password,FirstName,LastName
sushijardin1,Sushi Jardin,sushijardin1@gmail.com,2101489944,,
ledarjeeling1,Le Darjeeling,ledarjeeling1@gmail.com,1248184501,,
ristorantedelarte1,Ristorante Del Arte,ristorantedelarte1@gmail.com,1959119628,,
mammamiapinseria1,Mamma Mia Pinseria,mammamiapinseria1@gmail.com,-1243143520,,
domuscaffe1,Domus Caffe,domuscaffe1@gmail.com,-1212545183,,
auxbergesdubonheur1,Aux Berges du Bonheur,auxbergesdubonheur1@gmail.com,1162208521,,
crêperiel'avenuefoch1,Crêperie l'Avenue Foch,crêperiel'avenuefoch1@gmail.com,1450502937,,
woodpiz1,Woodpiz,woodpiz1@gmail.com,1989508429,,
l'escaledeconflans1,l'Escale de Conflans,l'escaledeconflans1@gmail.com,-1306899108,,
l.siciliano1,L. Siciliano,l.siciliano1@gmail.com,2129376366,,
letempssuspendu1,Le Temps Suspendu,letempssuspendu1@gmail.com,-153295460,,
indienpalace1,Indien Palace,indienpalace1@gmail.com,-218774959,,
haagen-dazs1,Haagen-Dazs,haagen-dazs1@gmail.com,-1103477395,,
lecomptoiritalien1,Le Comptoir Italien,lecomptoiritalien1@gmail.com,1993138845,,
hindaflavour1,Hinda flavour,hindaflavour1@gmail.com,441087634,,
orendezvous1,O Rendez Vous,orendezvous1@gmail.com,-1160707889,,
lesdelicesdumaroc1,Les Delices du Maroc,lesdelicesdumaroc1@gmail.com,-1274810603,,
àl'endroit1,À l'endroit,àl'endroit1@gmail.com,1077933471,,
starbucks1,Starbucks,starbucks1@gmail.com,-2074104812,,
talesofgourmet1,Tales of Gourmet,talesofgourmet1@gmail.com,-1187883134,,
hokisushi1,Hoki Sushi,hokisushi1@gmail.com,-1303262871,,
jaja1,Jaja,jaja1@gmail.com,1363714000,,
lemekong1,Le Mekong,lemekong1@gmail.com,591178680,,
trésorbreton1,Trésor Breton,trésorbreton1@gmail.com,384932461,,
sweetfactory1,Sweet Factory,sweetfactory1@gmail.com,-299097446,,
cosy'crêpe1,Cosy'Crêpe,cosy'crêpe1@gmail.com,469273078,,
leparis1,Le Paris,leparis1@gmail.com,1959985460,,
latoscane1,La Toscane,latoscane1@gmail.com,-412331392,,
restaurantindienrajpoot1,Restaurant Indien Rajpoot,restaurantindienrajpoot1@gmail.com,-1043486932,,
pizzaugo1,Pizza Ugo,pizzaugo1@gmail.com,-2131484169,,
jauneorange1,Jaune Orange,jauneorange1@gmail.com,-332369036,,
brasseriedumarche1,Brasserie Du Marche,brasseriedumarche1@gmail.com,1363688920,,
leroyalbambou1,Le Royal Bambou,leroyalbambou1@gmail.com,-1304391085,,
laboiteacrepes1,La boite a crepes,laboiteacrepes1@gmail.com,2138166266,,
courtepaille1,Courtepaille,courtepaille1@gmail.com,1130687534,,
sushisun1,Sushi Sun,sushisun1@gmail.com,-1417893895,,
o'bistronome1,O'Bistronome,o'bistronome1@gmail.com,2130865547,,
larosedessables1,La Rose des Sables,larosedessables1@gmail.com,-384149794,,
laplace1,La Place,laplace1@gmail.com,2138168225,,
villamia1,Villa Mia,villamia1@gmail.com,-524881790,,
milanoristorante1,Milano Ristorante,milanoristorante1@gmail.com,-1215647449,,
pizzavalentino1,Pizza Valentino,pizzavalentino1@gmail.com,1276813470,,
lataverneamoules1,La taverne a moules,lataverneamoules1@gmail.com,-498162120,,
restaurantpizzeriaenzo1,Restaurant Pizzeria Enzo,restaurantpizzeriaenzo1@gmail.com,355294329,,
lespicy1,Le spicy,lespicy1@gmail.com,-361332987,,
baibaoligrillade&sushibar1,Baibaoli grillade&sushibar,baibaoligrillade&sushibar1@gmail.com,-302400529,,
mousushi1,Mou Sushi,mousushi1@gmail.com,332292764,,
bijoubar1,Bijou Bar,bijoubar1@gmail.com,-1245319405,,
villamia1,Villa Mia,villamia1@gmail.com,-1389332014,,
clémentinerestaurant-cafe1,Clémentine Restaurant - Cafe,clémentinerestaurant-cafe1@gmail.com,-1241320374,,
bombocas1,Bombocas,bombocas1@gmail.com,-297311018,,
lagrillade1,La Grillade,lagrillade1@gmail.com,469219076,,
brasserielebouquet1,Brasserie Le Bouquet,brasserielebouquet1@gmail.com,-1240519057,,
arizonapizza1,Arizona Pizza,arizonapizza1@gmail.com,2103996955,,
levenitien1,le venitien,levenitien1@gmail.com,-1301265665,,
o'barcaiolo1,O'Barcaiolo,o'barcaiolo1@gmail.com,-1190411339,,
bateauchocolaté1,Bateau Chocolaté,bateauchocolaté1@gmail.com,-1245734374,,
yamada81,Yamada 8,yamada81@gmail.com,2074382002,,
cappadoce1,Cappadoce,cappadoce1@gmail.com,584382468,,
mcdonald's1,McDonald's,mcdonald's1@gmail.com,1962750316,,
restaurantle21,Restaurant le 2,restaurantle21@gmail.com,-295964833,,
mypiccolaitalia1,My Piccola Italia,mypiccolaitalia1@gmail.com,-1385577171,,
sakura1,Sakura,sakura1@gmail.com,588762640,,
o'bistrod'àcôté1,O'Bistro D'à Côté,o'bistrod'àcôté1@gmail.com,-2075145579,,
palaisdesouss1,Palais de Souss,palaisdesouss1@gmail.com,-360499638,,
royalsushi1,Royal Sushi,royalsushi1@gmail.com,1387666862,,
sushiconcept1,Sushi Concept,sushiconcept1@gmail.com,1995046399,,
pizzamodena1,Pizza Modena,pizzamodena1@gmail.com,1302763380,,
restaurantlamaisonbleue1,Restaurant La Maison Bleue,restaurantlamaisonbleue1@gmail.com,2043993259,,
lamonalisa1,La Mona Lisa,lamonalisa1@gmail.com,-1043420687,,
lacabanedemassepain1,La Cabane De Massepain,lacabanedemassepain1@gmail.com,-326204688,,
pizzahut1,Pizza Hut,pizzahut1@gmail.com,1478324600,,
o'tacos1,O'Tacos,o'tacos1@gmail.com,-1357836202,,
lecanotier1,Le Canotier,lecanotier1@gmail.com,1136232599,,
brooklynside1,Brooklyn Side,brooklynside1@gmail.com,-1933937131,,
mangezmoi1,Mangez moi,mangezmoi1@gmail.com,562160151,,
l'atelierpizza1,L'Atelier Pizza,l'atelierpizza1@gmail.com,-1272993383,,
restaurantsousmarinpacific1,Restaurant sous marin Pacific,restaurantsousmarinpacific1@gmail.com,2048697196,,
karibbeantruck1,Karibbean Truck,karibbeantruck1@gmail.com,-1934646477,,
legnopizza1,Legno Pizza,legnopizza1@gmail.com,-559913840,,
bchef1,Bchef,bchef1@gmail.com,384818196,,
crêperieravel1,Crêperie Ravel,crêperieravel1@gmail.com,531864836,,
legizeh1,Le Gizeh,legizeh1@gmail.com,640040732,,
fiveguys1,Five Guys,fiveguys1@gmail.com,-2047437028,,
ittrattoria1,It Trattoria,ittrattoria1@gmail.com,1135397397,,
italiantrattoria1,Italian Trattoria,italiantrattoria1@gmail.com,471538870,,
thaïstreetfood1,Thaï street food,thaïstreetfood1@gmail.com,615127768,,
lepetitprincedel'inde1,Le petit prince de l'inde,lepetitprincedel'inde1@gmail.com,1328771018,,
tablapizza1,Tablapizza,tablapizza1@gmail.com,-524884615,,
aubonheur1,Au Bonheur,aubonheur1@gmail.com,-1272606853,,
aubureau1,Au Bureau,aubureau1@gmail.com,-2049167789,,
hippopotamusfranconville1,Hippopotamus Franconville,hippopotamusfranconville1@gmail.com,-1242101760,,
thesundreamfranconville1,The Sun Dream Franconville,thesundreamfranconville1@gmail.com,-2073390852,,
auboncoinchezpierre1,Au Bon Coin Chez Pierre,auboncoinchezpierre1@gmail.com,2108227668,,
buffalogrill1,Buffalo Grill,buffalogrill1@gmail.com,-2071868719,,
flunch1,Flunch,flunch1@gmail.com,-330639483,,
nouveautokyosakura1,Nouveau Tokyo Sakura,nouveautokyosakura1@gmail.com,-304691277,,
kernoem1,Ker Noem,kernoem1@gmail.com,-1101634321,,
pizzaremy1,Pizza Remy,pizzaremy1@gmail.com,-387310670,,
dragonroyal1,Dragon Royal,dragonroyal1@gmail.com,586052654,,
latrattoriaii1,La Trattoria II,latrattoriaii1@gmail.com,472016603,,
ikea1,Ikea,ikea1@gmail.com,-1302217953,,
foodstation1,Food Station,foodstation1@gmail.com,1130599989,,
mcdonald's1,McDonald's,mcdonald's1@gmail.com,-358169224,,
royalkebab1,Royal Kebab,royalkebab1@gmail.com,648381468,,
lejaipur1,Le Jaipur,lejaipur1@gmail.com,1962638814,,
lebistrotdefanfan1,Le Bistrot de Fanfan,lebistrotdefanfan1@gmail.com,-158930638,,
pizzadevenise1,Pizza de Venise,pizzadevenise1@gmail.com,416124631,,
ristorantegiuseppe1,Ristorante Giuseppe,ristorantegiuseppe1@gmail.com,-295845548,,
sushidemarne1,Sushi de Marne,sushidemarne1@gmail.com,500588156,,
restaurantaupetitcaporal1,Restaurant Au Petit Caporal,restaurantaupetitcaporal1@gmail.com,-1391143432,,
andiamopizza1,Andiamo Pizza,andiamopizza1@gmail.com,-1076903909,,
lapetitetabledesaïgon1,La Petite Table de Saïgon,lapetitetabledesaïgon1@gmail.com,-1245703588,,
crêperiesucréesalée1,Crêperie sucrée salée,crêperiesucréesalée1@gmail.com,328601649,,
chaves1,Chaves,chaves1@gmail.com,-303241526,,
ardenza1,Ardenza,ardenza1@gmail.com,1994277843,,
restaurantcampuchea1,Restaurant Campuchea,restaurantcampuchea1@gmail.com,671282929,,
lepoulailler1,Le Poulailler,lepoulailler1@gmail.com,-355881106,,
lecharentonneau1,Le Charentonneau,lecharentonneau1@gmail.com,-1302547048,,
larotisserie1,La Rotisserie,larotisserie1@gmail.com,-1242905970,,
lapruneenboîte1,La Prune en Boîte,lapruneenboîte1@gmail.com,-358704647,,
jasuko1,Jasuko,jasuko1@gmail.com,669650166,,
domino'spizzamaisons-alfort1,Domino's Pizza Maisons-Alfort,domino'spizzamaisons-alfort1@gmail.com,-326240210,,
cafedelagare1,Cafe de  La Gare,cafedelagare1@gmail.com,412615216,,
invinotapas1,In Vino Tapas,invinotapas1@gmail.com,-240140910,,
casadiroma1,Casa Di Roma,casadiroma1@gmail.com,557785980,,
mansio1,Mansio,mansio1@gmail.com,674265943,,
sushiclemenceau1,Sushi Clemenceau,sushiclemenceau1@gmail.com,-357667697,,
thekorner1,The Korner,thekorner1@gmail.com,327554035,,
lerelais1,Le Relais,lerelais1@gmail.com,-2076311543,,
junglethai1,Jungle Thai,junglethai1@gmail.com,1331548279,,
brasseriel'olympique1,Brasserie L'olympique,brasseriel'olympique1@gmail.com,325827272,,
qgmaisonnnais1,QG Maisonnnais,qgmaisonnnais1@gmail.com,-1270225486,,
meatsteakhouse1,Meat Steakhouse,meatsteakhouse1@gmail.com,619717531,,
boulangeriepâtisseriebreadsparadise1,Boulangerie Pâtisserie Breads Paradise,boulangeriepâtisseriebreadsparadise1@gmail.com,-327012516,,
131street1,131 Street,131street1@gmail.com,362651741,,
lesfrèresdacruz1,Les Frères Da Cruz,lesfrèresdacruz1@gmail.com,1329665869,,
creperiedelamairie1,Creperie de la Mairie,creperiedelamairie1@gmail.com,-502595113,,
amakari1,Amakari,amakari1@gmail.com,332088190,,
chamsastacos1,Chamsas Tacos,chamsastacos1@gmail.com,-472151502,,
lelaboàburgers1,Le Labo À Burgers,lelaboàburgers1@gmail.com,527957226,,
boulangerieingridetfrankderache1,Boulangerie Ingrid Et Frank Derache,boulangerieingridetfrankderache1@gmail.com,-299392748,,
labourgogne1,La Bourgogne,labourgogne1@gmail.com,-2136010506,,
laperledumaroc1,La Perle du Maroc,laperledumaroc1@gmail.com,1392343211,,
casabella1,Casa Bella,casabella1@gmail.com,1159318732,,
barbelge1,Bar Belge,barbelge1@gmail.com,-383495539,,
pizzeriajazz1,Pizzeria Jazz,pizzeriajazz1@gmail.com,441984154,,
saintetherese1,Sainte Therese,saintetherese1@gmail.com,-1041727409,,
o'caveau1,O'Caveau,o'caveau1@gmail.com,-1359800483,,
legrandcafedelamairie1,Le Grand Cafe de la Mairie,legrandcafedelamairie1@gmail.com,-561794604,,
leclin'sfactory1,Le Clin's Factory,leclin'sfactory1@gmail.com,-303892719,,
pizzeriaparma1,Pizzeria Parma,pizzeriaparma1@gmail.com,1102982001,,
bharati1,Bharati,bharati1@gmail.com,531089466,,
laresidence1,La Residence,laresidence1@gmail.com,619716605,,
rapidopizza1,Rapido Pizza,rapidopizza1@gmail.com,1445079024,,
chezmichel1,Chez Michel,chezmichel1@gmail.com,-1160057260,,
maisonwako1,Maison Wako,maisonwako1@gmail.com,2109509436,,
restaurantassanabel1,Restaurant Assanabel,restaurantassanabel1@gmail.com,-1155319527,,
ladiva1,La Diva,ladiva1@gmail.com,2106850094,,
sumaya-restaurantjaponais1,Sumaya - Restaurant Japonais,sumaya-restaurantjaponais1@gmail.com,1331488726,,
lepavillonbleu1,Le Pavillon Bleu,lepavillonbleu1@gmail.com,477053207,,
moulinsdumonde1,Moulins du Monde,moulinsdumonde1@gmail.com,1270439248,,
commechezsoi1,Comme Chez Soi,commechezsoi1@gmail.com,-2042706994,,
kinaza1,Kinaza,kinaza1@gmail.com,-386324754,,
ledepot1,Le Depot,ledepot1@gmail.com,2046821477,,
chezgiovanni1,Chez Giovanni,chezgiovanni1@gmail.com,-1049235793,,
lebistrotdebenoit1,Le Bistrot de Benoit,lebistrotdebenoit1@gmail.com,-189403979,,
le581,Le 58,le581@gmail.com,1328658521,,
vianagrill1,Viana Grill,vianagrill1@gmail.com,639977425,,
aubuissonjoyeux1,Au Buisson Joyeux,aubuissonjoyeux1@gmail.com,1299640970,,
méméjeannette1,Mémé Jeannette,méméjeannette1@gmail.com,-327719813,,
le7grill1,Le 7 Grill,le7grill1@gmail.com,1249821738,,
lekristal1,Le Kristal,lekristal1@gmail.com,-214306437,,
lelamparo1,Le Lamparo,lelamparo1@gmail.com,527093384,,
boiteabebert1,Boiteabebert,boiteabebert1@gmail.com,-1183974627,,
l'archipel1,L'Archipel,l'archipel1@gmail.com,674057245,,
chezpujol1,Chez Pujol,chezpujol1@gmail.com,1992430678,,
latramontane1,La Tramontane,latramontane1@gmail.com,-1305378840,,
chezlescouzis1,Chez Les Couzis,chezlescouzis1@gmail.com,-417308946,,
lacotevermeille1,La Cote Vermeille,lacotevermeille1@gmail.com,-2130641214,,
mood1,Mood,mood1@gmail.com,557429148,,
ruaorzann°691,Rua Orzan N°69,ruaorzann°691@gmail.com,2015394798,,
edenrock1,Eden Rock,edenrock1@gmail.com,1330439280,,
lechantdupoulpe1,Le Chant Du Poulpe,lechantdupoulpe1@gmail.com,1105634236,,
portvendre1,Port Vendre,portvendre1@gmail.com,-1218977156,,
restauranttout1monde1,Restaurant Tout 1 Monde,restauranttout1monde1@gmail.com,2103398558,,
côtégers1,Côté Gers,côtégers1@gmail.com,-1041757350,,
lesclosdepaulilles1,Les Clos de Paulilles,lesclosdepaulilles1@gmail.com,-1246865252,,
lecedre1,Le Cedre,lecedre1@gmail.com,498530411,,
lebistrotdelafrance1,Le Bistrot de la France,lebistrotdelafrance1@gmail.com,1333714282,,
solemio1,Sole mio,solemio1@gmail.com,-2103834309,,
lechalut1,Le Chalut,lechalut1@gmail.com,-1132318115,,
lequai1,Le Quai,lequai1@gmail.com,676973975,,
lafringale1,La Fringale,lafringale1@gmail.com,-2071900431,,
lespoissonneriesdelacôtecatalane1,Les Poissonneries de la Côte Catalane,lespoissonneriesdelacôtecatalane1@gmail.com,733286592,,
lerestaurantduport1,Le Restaurant Du Port,lerestaurantduport1@gmail.com,1216610543,,
leportdevénus1,Le Port de Vénus,leportdevénus1@gmail.com,1247413813,,
lepaindejour1,Le Pain de Jour,lepaindejour1@gmail.com,1472720298,,
laterrasse1,La Terrasse,laterrasse1@gmail.com,-1930060611,,
lefranceportvendres1,Le france port vendres,lefranceportvendres1@gmail.com,391127190,,
chezgigi1,Chez Gigi,chezgigi1@gmail.com,-190210234,,
restaurantlesdeuxlevriers-chateaudemirambeau1,Restaurant Les Deux Levriers - Chateau de Mirambeau,restaurantlesdeuxlevriers-chateaudemirambeau1@gmail.com,618887321,,
l'union1,L'UNION,l'union1@gmail.com,-1215676429,,
latabledugolf1,La Table du Golf,latabledugolf1@gmail.com,-297363871,,
aubergedeceilloux1,Auberge de Ceilloux,aubergedeceilloux1@gmail.com,-212377590,,
lesalondethedegabriel1,Le Salon de The de Gabriel,lesalondethedegabriel1@gmail.com,473531953,,
restaurantlabergerie1,Restaurant La Bergerie,restaurantlabergerie1@gmail.com,557868623,,
l'arlequin1,L'Arlequin,l'arlequin1@gmail.com,1217776545,,
lerelaisdelavayres1,Le Relais de la Vayres,lerelaisdelavayres1@gmail.com,1328711377,,
auguste&ferdinand1,Auguste & Ferdinand,auguste&ferdinand1@gmail.com,-1221003014,,
boulangeriepitman1,Boulangerie Pitman,boulangeriepitman1@gmail.com,-1388342991,,
empreinte1,Empreinte,empreinte1@gmail.com,1335621713,,
l'imperial1,L'Imperial,l'imperial1@gmail.com,1329492606,,
romeopizzas1,Romeo Pizzas,romeopizzas1@gmail.com,-2073389895,,
piesandpotes1,Pies and Potes,piesandpotes1@gmail.com,-2051009969,,
ledancing1,Le Dancing,ledancing1@gmail.com,531539893,,
aucœurdel’inde1,Au Cœur de l’Inde,aucœurdel’inde1@gmail.com,1335594776,,
aufeudebois1,Au Feu de Bois,aufeudebois1@gmail.com,-1300757571,,
speedrabbitpizza1,Speed Rabbit Pizza,speedrabbitpizza1@gmail.com,-414177320,,
l'hippo1,L'Hippo,l'hippo1@gmail.com,-2099604201,,
lacense1,La Cense,lacense1@gmail.com,-239247390,,
lespetitesdouceursdephuket1,Les Petites Douceurs de Phuket,lespetitesdouceursdephuket1@gmail.com,-556191015,,
pizzahut1,Pizza Hut,pizzahut1@gmail.com,474422919,,
chezmoncousin1,Chez Mon Cousin,chezmoncousin1@gmail.com,1301868880,,
paul1,Paul,paul1@gmail.com,-1383843646,,
ricordid'asporto1,Ricordi d'Asporto,ricordid'asporto1@gmail.com,-384981002,,
lequai1,Le Quai,lequai1@gmail.com,-1386468143,,
l'oriental1,L'oriental,l'oriental1@gmail.com,2079089009,,
l'emulsionlambersart1,L'emulsion Lambersart,l'emulsionlambersart1@gmail.com,444906615,,
lecanond'or1,Le Canon d'Or,lecanond'or1@gmail.com,1075216851,,
boulangeriebele1,Boulangerie Bele,boulangeriebele1@gmail.com,-382752686,,
lebistrotducanond'or1,Le bistrot du Canon d'or,lebistrotducanond'or1@gmail.com,-328084335,,
lapetiteauberge1,La Petite Auberge,lapetiteauberge1@gmail.com,-329992855,,
villaiacazio1,Villa Iacazio,villaiacazio1@gmail.com,502374724,,
lemazagan1,le Mazagan,lemazagan1@gmail.com,-352985829,,
f.b.i1,F.B.I,f.b.i1@gmail.com,1333182937,,
domino'spizza1,Domino's Pizza,domino'spizza1@gmail.com,1105816018,,
latableducolysee1,La Table du Colysee,latableducolysee1@gmail.com,1331545399,,
lalaiterie1,La Laiterie,lalaiterie1@gmail.com,1191640071,,
lesroselières1,Les Roselières,lesroselières1@gmail.com,1307504247,,
lekiosqueapizzas1,Le Kiosque a Pizzas,lekiosqueapizzas1@gmail.com,-2100047967,,
viacaro1,Via Caro,viacaro1@gmail.com,-213384867,,
lesvedettes1,Les Vedettes,lesvedettes1@gmail.com,640153323,,
lepush1,Le Push,lepush1@gmail.com,356160158,,
dina1,Dina,dina1@gmail.com,477022208,,
snackducentre1,Snack Du Centre,snackducentre1@gmail.com,-1127548609,,
arianarestaurant1,Ariana Restaurant,arianarestaurant1@gmail.com,1361990739,,
crêperiecalanaise1,Crêperie Calanaise,crêperiecalanaise1@gmail.com,-1069314928,,
lacreperiedesetangs1,La Creperie des Etangs,lacreperiedesetangs1@gmail.com,556470969,,
kelanpizza1,Kelan Pizza,kelanpizza1@gmail.com,-300107528,,
l'aubergedelabrie1,L'Auberge de la Brie,l'aubergedelabrie1@gmail.com,-1386469067,,
fuwa1,Fuwa,fuwa1@gmail.com,1360827155,,
pizzaital1,Pizza Ital,pizzaital1@gmail.com,1299668970,,
mcdonald's1,McDonald's,mcdonald's1@gmail.com,474485237,,
lacasa1,La Casa,lacasa1@gmail.com,354342032,,
miapizza1,Mia Pizza,miapizza1@gmail.com,357174074,,
pommeauxfourneaux1,Pomme Aux Fourneaux,pommeauxfourneaux1@gmail.com,-1270075699,,
lesmarmottesgourmandes1,Les marmottes gourmandes,lesmarmottesgourmandes1@gmail.com,2102297037,,
auchevalnoir1,Au Cheval Noir,auchevalnoir1@gmail.com,525430039,,
casatiglio1,Casa Tiglio,casatiglio1@gmail.com,-1133064848,,
restaurantautilleul1,Restaurant Au Tilleul,restaurantautilleul1@gmail.com,-384980939,,
autramway1,AU Tramway,autramway1@gmail.com,-1301567630,,
mcdonald's1,McDonald's,mcdonald's1@gmail.com,1421960303,,
lapizzadenicohoenheim1,La Pizza de Nico Hoenheim,lapizzadenicohoenheim1@gmail.com,1246316192,,
lesdelicesd'angeliqueetcie1,Les delices d'angelique et Cie,lesdelicesd'angeliqueetcie1@gmail.com,501482910,,
gangofpizza1,Gang Of Pizza,gangofpizza1@gmail.com,-355792730,,
aupaind'autrefois1,Au Pain D'autrefois,aupaind'autrefois1@gmail.com,-1334903766,,
gervaise1,Gervaise,gervaise1@gmail.com,-2019610375,,
aubléd'or1,Au Blé D'or,aubléd'or1@gmail.com,-1387420368,,
lecentralbrasseriepizzeriacreperie1,Le Central Brasserie Pizzeria Creperie,lecentralbrasseriepizzeriacreperie1@gmail.com,-1241263709,,
hoteldefranceisignysurmer1,Hotel de France Isigny Sur Mer,hoteldefranceisignysurmer1@gmail.com,-383136960,,
