username,restaurantname,firstname,lastname,email,password
bryan1,,Bryan,Feezell,bryan1@gmail.com,-242759599
cleveland1,,Cleveland,Chan,cleveland1@gmail.com,1246010387
jacqueline1,,Jacqueline,Piatt,jacqueline1@gmail.com,-1303055916
francis1,,Francis,Oge,francis1@gmail.com,1475407156
patricia1,,Patricia,Adamczak,patricia1@gmail.com,-1072289999
aura1,,Aura,Hill,aura1@gmail.com,-440727018
joseph1,,Joseph,Powell,joseph1@gmail.com,359049821
shirley1,,Shirley,Hunt,shirley1@gmail.com,1335890230
margie1,,Margie,Cole,margie1@gmail.com,1132475888
mark1,,Mark,Bodo,mark1@gmail.com,-496102665
luis1,,Luis,Hutchinson,luis1@gmail.com,1965407268
karl1,,Karl,Mattson,karl1@gmail.com,-2073270606
elke1,,Elke,Patillo,elke1@gmail.com,-1354981126
kathy1,,Kathy,Arnold,kathy1@gmail.com,1270355706
rogelio1,,Rogelio,Mellin,rogelio1@gmail.com,589000039
heather1,,Heather,Lechner,heather1@gmail.com,2135754463
kyle1,,Kyle,Trower,kyle1@gmail.com,499776178
robert1,,Robert,Dziedzic,robert1@gmail.com,2103368855
roxie1,,Roxie,Kahan,roxie1@gmail.com,1476475694
mary1,,Mary,Whiting,mary1@gmail.com,420000535
mark1,,Mark,Fehrle,mark1@gmail.com,533476192
walter1,,Walter,Gonzalez,walter1@gmail.com,1333357008
frank1,,Frank,Small,frank1@gmail.com,1300028563
gloria1,,Gloria,Levinson,gloria1@gmail.com,1474514451
matthew1,,Matthew,Kaelker,matthew1@gmail.com,-157024021
michael1,,Michael,Sohn,michael1@gmail.com,-1415188737
paul1,,Paul,Quintero,paul1@gmail.com,2044828303
jeremy1,,Jeremy,Rodriguez,jeremy1@gmail.com,-1386590095
francis1,,Francis,Rogerson,francis1@gmail.com,-1213915936
johnny1,,Johnny,Craven,johnny1@gmail.com,-2076931018
